V1;V2;V3;V4;V5;V6;V7;V8;n;var
0.00270406844845907;0.00262871461951761;0.00261404076884939;0.00246908288543481;0.08;0.07;18;8;250;0.05
0.00271158938174198;0.00267989248498493;0.00265910292140584;0.00248719315383804;0.08;0.07;18;6;250;0.05
0.00279306660622073;0.00279333082239666;0.00274129047889115;0.0026217598448908;0.07;0.07;17;6;250;0.05
0.00258367785843324;0.00258024541799723;0.00254608263590366;0.0024855370976461;0.08;0.07;22;13;250;0.05
0.00314195746744041;0.00313702802173895;0.00312084128825345;0.00290757360083048;0.07;0.07;17;6;250;0.05
0.00273734202732474;0.00270628890437836;0.00262537158450221;0.00265358156126762;0.07;0.08;20;6;250;0.05
0.00287590155210333;0.00284046034576475;0.00282598597150325;0.00264538528394575;0.08;0.08;20;6;250;0.05
0.00287743958451023;0.00278866348910502;0.0028897192837401;0.00274249500952008;0.07;0.07;17;6;250;0.05
0.00268918568097027;0.00268846057578945;0.00255476733057107;0.00244866853949409;0.08;0.08;19;6;250;0.05
0.00253251945954837;0.00248498273045509;0.00259082761144749;0.00245752674110204;0.07;0.06;21;8;250;0.05
0.00324060222194226;0.00324927704295591;0.00309098764331267;0.00293268868422641;0.1;0.08;19;9;250;0.05
0.0027168662837867;0.00266740776278146;0.00260776026357041;0.00244613618839239;0.09;0.08;22;6;250;0.05
0.00271314421729899;0.00270128709517078;0.00261658530830239;0.00262206318507126;0.08;0.08;19;6;250;0.05
0.0025483743461879;0.00251361234121873;0.00240517863495256;0.00238685374673837;0.09;0.08;19;6;250;0.05
0.00260627360146198;0.00259671952922483;0.00251068653191472;0.00243920289994566;0.09;0.08;19;6;250;0.05
0.00250691999842444;0.00245004879378632;0.00252298561528356;0.00234608549720392;0.08;0.07;22;16;250;0.05
0.00249067121824596;0.00247637810222922;0.00240477623271875;0.00232297372385619;0.08;0.07;20;7;250;0.05
0.00245241865094436;0.00245314611423091;0.00239982980116348;0.00237099670871134;0.08;0.07;18;6;250;0.05
0.00249781524020571;0.00245144881698051;0.002582757561107;0.00230861026235154;0.07;0.06;22;6;250;0.05
0.00289219151545875;0.00288085633916447;0.00277874611410463;0.00269981175030129;0.08;0.08;17;6;250;0.05
0.00270317922492841;0.00265365228493005;0.00255694695470831;0.00252129086832921;0.09;0.08;19;6;250;0.05
0.0027463948853834;0.00270782939266952;0.00275482391700476;0.00273796629960524;0.05;0.05;14;6;250;0.05
0.00256815827708327;0.00249031797681659;0.00253921038065775;0.00240128784740073;0.07;0.07;22;6;250;0.05
0.00260172899085046;0.00257861002129264;0.00252609321999477;0.00242800368745851;0.08;0.07;19;8;250;0.05
0.00319752751779002;0.0032061167267463;0.0031141955068108;0.00297171169423815;0.08;0.07;16;6;250;0.05
0.00295174222694512;0.00290128157392776;0.00287027754781507;0.00283942089011668;0.08;0.07;21;7;250;0.05
0.00275920333202166;0.0027718764270479;0.00266141446380541;0.00264923745586658;0.07;0.06;16;11;250;0.05
0.00327321469540009;0.00321743515544384;0.00312041016386786;0.00293672617156733;0.09;0.09;17;6;250;0.05
