V1;V2;V3;V4;V5;V6;V7;V8;n;var
0.0104655875813216;0.0102865557563787;0.0103321289021419;0.010227765462071;0.11;0.09;19;6;350;0.1
0.0102508204723433;0.0101258594861572;0.00999449983995459;0.00981934261259219;0.12;0.11;12;6;350;0.1
0.0104791934980809;0.0105231514243204;0.0102589662165528;0.0101723622563349;0.11;0.1;14;6;350;0.1
0.0107671264184066;0.0107656505591266;0.010563526802398;0.0104667617886953;0.11;0.1;16;7;350;0.1
0.0111878246890312;0.011175405887308;0.0109931019791333;0.0106710532867109;0.1;0.09;14;7;350;0.1
0.0112192972172357;0.0112508984731718;0.0110818934304186;0.0109289653612467;0.11;0.1;14;6;350;0.1
0.0109627154805669;0.010962753425286;0.0108095125976272;0.0104098892701684;0.11;0.09;13;6;350;0.1
0.0107789657704691;0.0107083213401594;0.0105810758546634;0.0106513297897394;0.07;0.08;17;7;350;0.1
0.010478654029839;0.010508000452129;0.0102930310199311;0.00992085491332709;0.11;0.1;14;6;350;0.1
0.00951481955592978;0.00948129275235438;0.00953690496991086;0.00928976889966818;0.06;0.06;16;6;350;0.1
0.0119629019249394;0.011994527633599;0.0118905137644593;0.011514929302197;0.11;0.1;18;6;350;0.1
0.0102451682652936;0.0100909417769341;0.00997095300155057;0.00965516951998436;0.1;0.09;17;6;350;0.1
0.0106427021772672;0.0105142981817325;0.0106743200517766;0.0105439879023063;0.08;0.09;13;6;350;0.1
0.0107464876618937;0.0107235593003097;0.0106338092359757;0.0105356243705902;0.11;0.1;16;6;350;0.1
0.0103101662041078;0.0103135092061289;0.0102201506680242;0.0100914772745992;0.1;0.09;17;6;350;0.1
0.00953927857785466;0.00953223835905042;0.00941194297615683;0.00931966362576364;0.09;0.08;14;9;350;0.1
0.00981018212968605;0.00978425483241007;0.00967705559970731;0.00946961626162275;0.08;0.08;20;9;350;0.1
0.00958100047307175;0.00954861932255393;0.00967626552601019;0.00942875524679225;0.07;0.07;22;6;350;0.1
0.00954019969529191;0.00948441582427428;0.00927458828852479;0.00916840811097291;0.11;0.09;16;8;350;0.1
0.0106589267349325;0.0106611971720797;0.0104614468937412;0.0102576595966052;0.1;0.1;13;6;350;0.1
0.00988927846986479;0.0097667659498708;0.00975561057782784;0.00945443384677271;0.1;0.09;21;6;350;0.1
0.0108276157820096;0.0109010599497631;0.0106692911611279;0.0104486727520627;0.08;0.08;13;6;350;0.1
0.0105509056711656;0.0104154800072652;0.0105596237518593;0.0101276106165456;0.1;0.08;12;6;350;0.1
0.00960951498415894;0.00960586853124356;0.00939582994735766;0.00939409734282926;0.08;0.08;20;7;350;0.1
0.0115910737968424;0.0116620808026588;0.0114034975044077;0.0112502073052552;0.1;0.09;16;6;350;0.1
0.0112680571642031;0.0111697372207093;0.0112169760603102;0.0108555222837934;0.09;0.07;20;8;350;0.1
0.0113320596173511;0.0113868916173429;0.0110911139756293;0.0113043036610434;0.1;0.09;16;16;350;0.1
0.0110190841506439;0.0109244348253112;0.010893541139806;0.0104542110725286;0.11;0.1;11;6;350;0.1
0.0110975006965058;0.0110779269171026;0.0108457164642145;0.010827094022712;0.1;0.1;18;10;350;0.1
0.0108142185676982;0.0108230682139177;0.0107205413458819;0.010309097743843;0.1;0.09;20;6;350;0.1
0.0106642379175886;0.0106752096558178;0.0104969677987214;0.0101513529354498;0.09;0.08;16;9;350;0.1
0.0100907499125364;0.0100501631394391;0.00985487166743285;0.00977080739243153;0.11;0.1;14;11;350;0.1
0.0102717263694065;0.0103173267342054;0.0100532562029358;0.00986043895799232;0.1;0.08;17;7;350;0.1
0.010368182195456;0.0102956023651546;0.0103778916277353;0.0101266727210146;0.09;0.09;17;6;350;0.1
0.00975051838896964;0.00963743247930157;0.00986913651137321;0.00955440305412323;0.05;0.05;21;6;350;0.1
0.00996140540344586;0.00990928951019454;0.00983602063494004;0.010060758278216;0.08;0.08;20;20;350;0.1
0.0102892685589867;0.0103153834960613;0.0102177197962358;0.0098664561175659;0.09;0.08;18;6;350;0.1
0.0112597874512482;0.0111740501427099;0.0110472722781702;0.0109118982579949;0.09;0.08;22;7;350;0.1
0.0102062105679077;0.0102278430048088;0.0101290423995319;0.00998615519616155;0.09;0.08;22;13;350;0.1
0.0107509417579718;0.010799075987968;0.0105056888065094;0.0102213518697432;0.11;0.1;17;6;350;0.1
0.0104361787880429;0.0104579828826737;0.0101481509099478;0.00994241951950369;0.11;0.11;19;6;350;0.1
0.0112866148219509;0.0112761189558704;0.0111180270927648;0.0108111017246648;0.11;0.1;14;6;350;0.1
0.0110611048927147;0.0110370038792433;0.010901985647772;0.0108265441410293;0.1;0.1;15;8;350;0.1
0.0100635820966847;0.0101029405223902;0.00996085822072352;0.00971458275107192;0.09;0.08;15;7;350;0.1
0.0101136931104169;0.0101294280944673;0.0101223098904677;0.00997140325086763;0.06;0.07;14;7;350;0.1
0.0117873439667236;0.0117101072148161;0.0116427800389295;0.0113740372727753;0.11;0.1;16;6;350;0.1
0.0104562252758343;0.0104191251137937;0.0101511330160949;0.0100457870700274;0.11;0.1;13;6;350;0.1
0.0105074276481563;0.0104343726671513;0.0102060837807331;0.010348558202329;0.09;0.08;13;7;350;0.1
0.0100923558598371;0.0101238123714195;0.0100842720372074;0.00968352147908557;0.1;0.09;20;6;350;0.1
0.00994216966051878;0.00992961738372264;0.00968882364709855;0.00942737525584503;0.12;0.1;15;9;350;0.1
0.0103265839139856;0.0103446871622373;0.010176456069079;0.0098194022112605;0.09;0.09;14;7;350;0.1
0.0104054760882881;0.00994904441577511;0.0103177292305037;0.0100878251233539;0.11;0.1;17;6;350;0.1
0.010968401330958;0.010981759938735;0.0109824928840483;0.0107485328124879;0.08;0.08;21;7;350;0.1
0.0112788955586521;0.0113220642811736;0.0113209926377398;0.011217700590126;0.08;0.08;12;6;350;0.1
0.0106995139664775;0.0106259489191944;0.0104831747183856;0.0103722970533707;0.11;0.1;13;6;350;0.1
0.0110236842415148;0.0109386126870648;0.0108895714608866;0.0104283846478013;0.1;0.09;22;7;350;0.1
0.009954462353774;0.00994438416692934;0.00977217672909572;0.00946922650447882;0.1;0.1;15;6;350;0.1
0.00991078775814002;0.00988679307529506;0.00984805420811227;0.00944928134523853;0.1;0.09;20;6;350;0.1
0.0106824152322289;0.0104866432045513;0.0105180591525925;0.0103620847038585;0.1;0.09;17;6;350;0.1
