"V1","V2","V3","V4","V5","V6","V7","V8","n","var","Tipo","EQM_MIN"
0.00305086507408769,0.00293024759384017,0.00297779141348659,0.00264751311079353,0.09,0.07,19,6,150,0.05,"1500.05",4
0.00296932055925562,0.00290741937998464,0.00292372340586373,0.00267844143773528,0.07,0.07,16,6,150,0.05,"1500.05",4
0.00296261134265591,0.00299996159552809,0.00291414562242909,0.002712457710465,0.08,0.07,16,8,150,0.05,"1500.05",4
0.00251279849678644,0.00249394719239438,0.0022401169269885,0.00223968854940544,0.09,0.09,17,6,150,0.05,"1500.05",4
0.00319341373662685,0.00317946876676485,0.00308904422088348,0.00298341858743225,0.08,0.08,18,10,150,0.05,"1500.05",4
0.00265919475913849,0.00265077208460491,0.00261215836997688,0.00253433304133079,0.08,0.07,21,6,150,0.05,"1500.05",4
0.00283594972504508,0.00282267752758024,0.00262905043438125,0.00257221040586551,0.09,0.09,17,7,150,0.05,"1500.05",4
0.00281865181129423,0.00272722046854129,0.00286613139293178,0.00269897590795434,0.08,0.07,22,6,150,0.05,"1500.05",4
0.00289349221979889,0.00292043583681768,0.0026389230471143,0.00260081232014493,0.11,0.09,17,6,150,0.05,"1500.05",4
0.00254943473756086,0.0024508667976753,0.00241934303978989,0.00237946547075658,0.08,0.07,21,9,150,0.05,"1500.05",4
0.00320586756750982,0.00324912052702843,0.00298886562211494,0.00283420592000453,0.08,0.08,18,6,150,0.05,"1500.05",4
0.00296279900369561,0.00291200408237633,0.00284363170009864,0.00253280769279607,0.09,0.08,22,6,150,0.05,"1500.05",4
0.00347956779855648,0.00352404272175218,0.00327411079583312,0.00316170555460273,0.11,0.1,15,6,150,0.05,"1500.05",4
0.00321716293964536,0.00313882438111606,0.00310774025116532,0.00276191998188756,0.09,0.09,15,8,150,0.05,"1500.05",4
0.00300861577462804,0.00277298950385843,0.0028765898473575,0.00271689553924485,0.09,0.1,14,6,150,0.05,"1500.05",4
0.00274424635182999,0.00266584779372519,0.00249407923520237,0.00244208710935407,0.09,0.09,20,8,150,0.05,"1500.05",4
0.00252276721742487,0.00257278763849349,0.00256466754191988,0.00235426052565312,0.08,0.06,17,6,150,0.05,"1500.05",4
0.0022680448263723,0.00227262127270425,0.00209866157386851,0.00211064403422957,0.09,0.08,17,6,150,0.05,"1500.05",3
0.0028527210861653,0.00269124184302758,0.00266520109513008,0.00242833213272911,0.09,0.08,21,8,150,0.05,"1500.05",4
0.00278196964258092,0.00274973636277624,0.00265458171263541,0.00255137093759257,0.09,0.09,19,6,150,0.05,"1500.05",4
